header;type;optional;format;change;sfactor;avg;std;max;min;isnumber;distinctvalues
BILL_DOC;string;y;;0,557422969;1,79;1,79;2,775950288;;;0;200
ITEM;string;y;;0,613445378;7,955555556;7,955555556;28,99115233;;;0;45
BILLED_QUANTITY;number;y;#,##0.000;;;14,74494413;18,25469303;165;0;1;141
SU;string;y;;0,120448179;89,5;89,5;95,74053478;;;0;4
BUN;string;y;;0,114845938;89,5;89,5;122,2630361;;;0;4
BILL_QTY_IN_SKU;number;y;#,##0.000;;;14,74494413;18,25469303;165;0;1;141
REQUIRED_QUANTITY;number;y;#,##0.000;;;23,11030726;40,28862125;178,9;0;1;104
NET_WEIGHT;number;y;#,##0.000;;;9,374318436;10,1222158;29,94;0;1;126
GROSS_WEIGHT;number;y;#,##0.000;;;9,374318436;10,1222158;29,94;0;1;126
WUN;string;y;;0,109243697;179;179;24;;;0;2
BUSA;string;y;;0,327731092;4,710526316;4,710526316;10,3336647;;;0;76
CREATED_BY;string;y;;0,014005602;89,5;89,5;152,1323437;;;0;4
CREATED_ON;date;y;YYYY-MM-dd;;;41643,56704;1,786888962;41645;41641;1;3
TIME;date;y;HH:mm:ss;;;0,893666136;0,080313217;0,955520833;0,362650463;1;6
PRICING_DT;date;y;YYYY-MM-dd;;;-40,60893855;53,32678316;41645;41183;1;61
SERV_REND;date;y;YYYY-MM-dd;;;41602,9581;54,15928297;41645;41183;1;61
NET_VALUE;number;y;#,##0.00;;;83,9853352;228,0584212;1326;-871,23;1;255
PRCAT;string;y;;0,014005602;89,5;89,5;89,04072102;;;0;4
SALES_DOC;string;y;;0,535014006;2,196319018;2,196319018;3,619746281;;;0;163
SALES_ITEM;string;y;;0,753501401;4,475;4,475;10,04984453;;;0;80
MATERIAL;string;y;;0,327731092;7,782608696;7,782608696;18,13705436;;;0;46
DESCRIPTION;string;y;;0,355742297;6,392857143;6,392857143;16,05201208;;;0;56
MATL_GROUP;string;y;;0,148459384;59,66666667;59,66666667;54,66768292;;;0;6
ITCA;string;y;;0,338935574;39,77777778;39,77777778;26,50692898;;;0;9
PRODUCT_HIERARCHY;string;y;;0,285714286;12,78571429;12,78571429;21,6734814;;;0;28
SHPT;string;y;;0,324929972;4,837837838;4,837837838;10,45327703;;;0;74
DV;string;y;;0,140056022;71,6;71,6;69,50568322;;;0;5
PLNT;string;y;;0,327731092;4,710526316;4,710526316;10,3336647;;;0;76
CTRY;string;y;;0;358;358;0;;;0;1
REG;string;y;;0,282913165;9,179487179;9,179487179;17,59206085;;;0;39
PRCG;string;y;;0,106442577;179;179;109;;;0;2
AAG;string;y;;0,154061625;44,75;44,75;50,80292807;;;0;8
SGRP;string;y;;0,137254902;29,83333333;29,83333333;33,13063369;;;0;12
SOFF;string;y;;0,137254902;71,6;71,6;44,29266305;;;0;5
DI;string;y;;0,092436975;89,5;89,5;78,93509992;;;0;4
RET;string;y;;0,193277311;179;179;105;;;0;2
COST;number;y;#,##0.00;;;42,63458101;120,6488919;692,99;-404;1;184
VALUE_OF_INVGROSS;number;y;#,##0.00;;;15,72703911;92,95725584;464,51;-549,23;1;311
VALUE_WO_FREIGHT;number;y;#,##0.00;;;2,011284916;34,70735633;369,73;-293,32;1;5
VALUE_OF_ALL_BILLS;number;y;#,##0.00;;;17,07097765;42,63825006;353;-87,45;1;128
FREIGHT_COST;number;y;#,##0.00;;;81,34332402;221,8921118;1326;-871,23;1;181
SUBTOTAL_5;number;y;#,##0.00;;;146,9148045;293,8963517;1295,4;-917,49;1;258
BONUS_PAID;number;y;#,##0.00;;;0,258994413;1,772271199;19,2;-2;1;10
PROFIT_CTR;string;y;;0,352941176;4,313253012;4,313253012;7,97273624;;;0;83
MG_2;string;y;;0,156862745;89,5;89,5;77,07950441;;;0;4
MG_3;string;y;;0,156862745;89,5;89,5;77,07950441;;;0;4
MG_4;string;y;;0,156862745;89,5;89,5;77,07950441;;;0;4
MG_5;string;y;;0,207282913;71,6;71,6;44,23844482;;;0;5
MATERIAL_ENTERED;string;y;;0,296918768;8,136363636;8,136363636;24,00340024;;;0;44
REB_BASIS;number;y;#,##0.00;;;83,9853352;228,0584212;1326;-871,23;1;255
COAR;string;y;;0;358;358;0;;;0;1
PROF_SEG;string;y;;0,966386555;1,084848485;1,084848485;0,425064139;;;0;330
CREDIT_PRICE;number;y;#,##0.00;;;16,29148045;35,27156427;140;-112,91;1;74
CREDIT_ACTIVE;string;y;;0,084033613;179;179;75;;;0;2
USAGE;string;y;;0,028011204;71,6;71,6;89,52452178;;;0;5
DISO;string;y;;0,400560224;3,509803922;3,509803922;5,756062615;;;0;102
PO;string;y;;0,016806723;119,3333333;119,3333333;135,0563668;;;0;3
MPR;string;y;;0,263305322;179;179;14;;;0;2
RO;string;y;;0,333333333;9,179487179;9,179487179;13,03028385;;;0;39
DOCCA;string;y;;0,095238095;71,6;71,6;55,9592709;;;0;5
TAX_AMOUNT;number;y;#,##0.00;;;11,24871508;42,71765555;265,2;-174,25;1;224
ORDRS;string;y;;0,053221289;71,6;71,6;61,71093906;;;0;5
TRANSLDATE;date;y;YYYY-MM-dd;;;41621,01117;34,64077176;41645;41229;1;18
